"Регион";"Код";"2013 г.";"2014 г.";"2015 г.";"2016 г.";"2017 г.";"2018 г.";"2019 г.";
"Центральный федеральный округ";"030";"4.5";"4.59";"4.09";"4.09";"4.2";"3.9";"4.3";
"Белгородская область";"14000000000";"5";"5";"4.4";"4.4";"4.4";"4.4";"4.2";
"Брянская область";"15000000000";"4.7";"5.8";"4.8";"4.7";"4.5";"4.5";"4.5";
"Владимирская область";"17000000000";"4.9";"4.8";"4.2";"4";"4.2";"4";"4";
"Воронежская область";"20000000000";"5";"4.8";"4.09";"4.09";"4.09";"4.09";"4.4";
"Ивановская область";"24000000000";"4.7";"4.8";"4.09";"4.09";"4";"3.9";"4.09";
"Калужская область";"29000000000";"4.4";"5";"4.4";"4.5";"4.59";"4.4";"4.9";
"Костромская область";"34000000000";"5.09";"5.2";"4.3";"4.2";"4.3";"4";"4.4";
"Курская область";"38000000000";"4.2";"5.2";"4.5";"4.4";"4.4";"4.4";"4.4";
"Липецкая область";"42000000000";"4.9";"4.9";"4.3";"4.2";"4.3";"4.09";"4.3";
"Московская область";"46000000000";"5";"5";"4.59";"4.59";"4.7";"3.9";"4.9";
"Орловская область";"54000000000";"4.3";"5.2";"4.5";"4.3";"4.4";"3.8";"4.5";
"Рязанская область";"61000000000";"4.9";"4.8";"4.4";"4.3";"4.5";"4.2";"4.5";
"Смоленская область";"66000000000";"5.3";"5.4";"4.7";"4.5";"4.5";"4.4";"4.59";
"Тамбовская область";"68000000000";"4.7";"4.59";"4.09";"3.9";"4";"3.8";"4";
"Тверская область";"28000000000";"4.8";"5";"4.4";"4.2";"4.4";"4.3";"4.4";
"Тульская область";"70000000000";"5";"5";"4.09";"4.09";"4.2";"4.09";"4.2";
"Ярославская область";"78000000000";"5.09";"5";"4.3";"4.09";"4.09";"4";"4.3";
"Город Москва столица Российской Федерации город федерального значения";"45000000000";"3.8";"3.7";"3.6";"3.5";"3.6";"3.5";"3.8";
"Северо-Западный федеральный округ";"031";"5.2";"5.2";"4.59";"4.59";"4.59";"4.59";"4.7";
"Республика Карелия";"86000000000";"5.3";"5.2";"4.3";"4.5";"4.4";"4";"4.59";
"Республика Коми";"87000000000";"5.6";"5.6";"4.8";"4.8";"5";"4.59";"4.7";
"Архангельская область";"11000000000";"5.4";"5.3";"4.3";"4.3";"4.3";"4.3";"4.3";
"Ненецкий автономный округ (Архангельская область)";"11100000000";"5.6";"5.3";"4";"4.2";"3.1";"3.7";"4";
"Архангельская область (кроме Ненецкого автономного округа)";"11001000000";"5.4";"5.3";"4.4";"4.3";"4.3";"4.3";"4.3";
"Вологодская область";"19000000000";"4.5";"4.7";"3.7";"3.9";"4";"3.9";"4";
"Калининградская область";"27000000000";"6";"5.7";"5.4";"5.3";"5.09";"5.2";"5.5";
"Ленинградская область";"41000000000";"4.8";"4.59";"4.09";"4.09";"4.09";"4.09";"4.09";
"Мурманская область";"47000000000";"6.3";"6.2";"5.4";"5.5";"5.3";"5.2";"5.4";
"Новгородская область";"49000000000";"4.5";"5";"4.5";"4.5";"4.59";"4.4";"4.7";
"Псковская область";"58000000000";"5";"4.8";"4.2";"4.3";"4.4";"4.3";"4.09";
"Город Санкт-Петербург город федерального значения";"40000000000";"5.2";"5.2";"4.7";"4.8";"4.7";"4.8";"5";
"Южный федеральный округ (с 2010 года)";"037";"4.7";"4.9";"4.4";;;;;
"Республика Адыгея (Адыгея)";"79000000000";"4.3";"4.09";"3.5";"3.6";"3.6";"3.6";"3.7";
"Республика Калмыкия";"85000000000";"4.5";"4.5";"3.7";"3.8";"3.6";"3.7";"3.8";
"Республика Крым";"35000000000";"0";"2.7";"3";"3.3";"3.5";"3.6";"3.7";
"Краснодарский край";"03000000000";"5";"5";"4.59";"4.59";"4.5";"3.8";"4.8";
"Астраханская область";"12000000000";"5.2";"5.09";"4.3";"4.2";"4.09";"4.09";"4";
"Волгоградская область";"18000000000";"4.8";"4.7";"4.09";"4.09";"4.09";"3.9";"4.09";
"Ростовская область";"60000000000";"4.2";"4.8";"4.3";"4.3";"4.3";"4.09";"4.3";
"Город федерального значения Севастополь";"67000000000";"0";"2.8";"4";"4.5";"4.5";"4.4";"4.59";
"Северо-Кавказский федеральный округ";"038";"2.5";"2.5";"2.29";"2.29";"2.29";"2.1";"2.29";
"Республика Дагестан";"82000000000";"1.7";"1.7";"1.6";"1.6";"1.5";"1.4";"1.6";
"Республика Ингушетия";"26000000000";"1";"0.9";"0.8";"0.9";"0.8";"0.8";"0.8";
"Кабардино-Балкарская Республика";"83000000000";"2.5";"2.5";"2.5";"2.8";"2.8";"2.4";"2.6";
"Карачаево-Черкесская Республика";"91000000000";"2.9";"3.5";"3.4";"3.1";"3";"3.2";"3.1";
"Республика Северная Осетия-Алания";"90000000000";"2.5";"2.8";"2.6";"2.6";"2.6";"2.5";"2.6";
"Чеченская Республика";"96000000000";"1";"0.9";"0.8";"0.9";"0.8";"0.5";"0.8";
"Ставропольский край";"07000000000";"4.3";"4.3";"3.9";"3.8";"3.7";"3.5";"3.8";
"Приволжский федеральный округ";"033";"4.3";"4.59";"3.9";"3.9";"3.9";"3.8";"3.9";
"Республика Башкортостан";"80000000000";"4.5";"4.5";"3.9";"3.8";"3.8";"3.8";"3.8";
"Республика Марий Эл";"88000000000";"4.3";"4.5";"3.7";"3.7";"3.6";"3.8";"3.5";
"Республика Мордовия";"89000000000";"4.2";"3.9";"3.3";"3.3";"3.3";"3.3";"3.2";
"Республика Татарстан (Татарстан)";"92000000000";"3.6";"3.9";"3.5";"3.5";"3.5";"3.5";"3.4";
"Удмуртская Республика";"94000000000";"4";"4.3";"3.5";"3.5";"3.5";"2.6";"3.5";
"Чувашская Республика - Чувашия";"97000000000";"3.8";"3.9";"3.3";"3.3";"3.2";"3.2";"3.2";
"Пермский край";"57000000000";"4.7";"4.8";"4";"4.2";"4.2";"4.09";"4.2";
"Кировская область";"33000000000";"4.9";"5";"4.09";"4.09";"4.09";"3.9";"4";
"Нижегородская область";"22000000000";"4";"4.9";"4.09";"4";"4.2";"3.9";"4.2";
"Оренбургская область";"53000000000";"4.3";"5.2";"4.4";"4.4";"4.3";"4.3";"4.3";
"Пензенская область";"56000000000";"4.8";"4.8";"4";"3.9";"4";"3.8";"4";
"Самарская область";"36000000000";"4.4";"5.09";"4.4";"4.4";"4.3";"4.4";"4.3";
"Саратовская область";"63000000000";"4.8";"4.8";"4.2";"4.09";"4.09";"4";"4.09";
"Ульяновская область";"73000000000";"5";"4.8";"4";"3.9";"3.9";"3.7";"3.8";
"Уральский федеральный округ";"034";"5.3";"5.6";"4.8";"4.8";"4.8";"4.59";"4.8";
"Курганская область";"37000000000";"5.7";"5.6";"4.8";"4.59";"4.8";"4";"4.7";
"Свердловская область";"65000000000";"5.2";"5.2";"4.5";"4.59";"4.59";"4.4";"4.8";
"Тюменская область";"71000000000";"5.9";"6";"5.3";"5.2";"5.2";"5";"5";
"Ханты-Мансийский автономный округ - Югра (Тюменская область)";"71100000000";"6.3";"6.3";"5.7";"5.6";"5.5";"5.3";"5.3";
"Ямало-Ненецкий автономный округ (Тюменская область)";"71140000000";"5.8";"6.3";"5.7";"5.7";"5.5";"5.4";"5.3";
"Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)";"71001000000";"5.6";"5.6";"4.7";"4.59";"4.7";"4.5";"4.59";
"Челябинская область";"75000000000";"4.7";"5.6";"4.59";"4.59";"4.59";"4.5";"4.7";
"Сибирский федеральный округ";"035";"5.2";"5.3";"4.5";"4.5";"4.5";;;
"Республика Алтай";"84000000000";"5.5";"5.7";"4.09";"4.3";"4.2";"4";"4.59";
"Республика Бурятия";"81000000000";"4.7";"4.7";"3.7";"3.6";"3.5";"3.6";"3.8";
"Республика Тыва";"93000000000";"2";"2";"1.7";"1.6";"1.8";"1.9";"2.29";
"Республика Хакасия";"95000000000";"4.5";"5.4";"4.59";"4.59";"4.7";"3.9";"4.5";
"Алтайский край";"01000000000";"5.5";"5.5";"4.5";"4.4";"4.59";"4.3";"4.4";
"Забайкальский край";"76000000000";"4.7";"5.5";"4.4";"4.5";"4.59";"4.5";"4.8";
"Красноярский край";"04000000000";"4.7";"4.8";"4.8";"4.8";"4.8";"4.8";"5";
"Иркутская область";"25000000000";"5.6";"5.8";"4.9";"4.8";"4.9";"4.59";"5";
"Новосибирская область";"50000000000";"5.7";"5.8";"4.8";"4.7";"4.7";"4.5";"4.8";
"Омская область";"52000000000";"5.3";"5.3";"4.4";"4.4";"4.4";"4.3";"4.4";
"Томская область";"69000000000";"5.5";"5.2";"4.59";"4.4";"4.3";"3.7";"4.5";
"Дальневосточный федеральный округ";"036";"5.8";"5.9";"5.09";"5";"5";;;
"Республика Саха (Якутия)";"98000000000";"4.8";"4.7";"4.3";"4.3";"4.09";"3.4";"4.3";
"Камчатский край";"30000000000";"7";"6.5";"5.7";"6.1";"5.7";"5.2";"5.9";
"Приморский край";"05000000000";"5.6";"5.8";"5";"4.8";"4.8";"4.8";"5";
"Хабаровский край";"08000000000";"6.1";"6.2";"5.4";"5.2";"5.2";"5";"5.2";
"Амурская область";"10000000000";"6.1";"6.1";"5.09";"5.09";"5";"5.09";"5.3";
"Магаданская область";"44000000000";"6.9";"6.9";"6.2";"6.4";"6";"5.09";"5.4";
"Сахалинская область";"64000000000";"5.7";"6.6";"5.9";"5.7";"5.6";"5.6";"5.8";
"Еврейская автономная область";"99000000000";"5.4";"5.8";"4.9";"4.7";"4.9";"4.8";"5";
"Чукотский автономный округ";"77000000000";"5.8";"6";"5.6";"5.2";"5.6";"4.8";"4.9";
"Крымский федеральный округ";"039";;;"3.2";;;;;